Naslov,Avtor,Leta izida,Dolžina,Točke,Ocena,Število bralcev
Conan (Book 1),Robert E. Howard,1967,221,673,4.08,6901
"The Weirdstone of Brisingamen (Tales of Alderley, #1)",Alan Garner,1960,268,665,3.94,8114
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,1964,176,665,4.16,863077
"The Sword of the Dawn (History of the Runestaff, #3)",Michael Moorcock,1968,144,572,3.85,2314
Conan of Cimmeria (Conan 2),Robert E. Howard,1969,189,564,4.11,4990
"The Moon of Gomrath (Tales of Alderley, #2)",Alan Garner,1963,208,560,3.95,2666
"Lord of Thunder (Beast Master / Hosteen Storm, #2)",Andre Norton,1962,192,528,3.89,687
"The Mouse and the Motorcycle (Ralph S. Mouse, #1)",Beverly Cleary,1965,186,523,3.96,86354
"Little Fuzzy (Fuzzy Sapiens, #1)",H. Beam Piper,1962,252,504,4.03,10322
"The Mad God's Amulet (The History of the Runestaff, #2)",Michael Moorcock,1968,223,476,3.85,2502
"The Runestaff (History of the Runestaff, #4)",Michael Moorcock,1969,143,470,3.88,2299
The Owl Service,Alan Garner,1967,219,466,3.67,7529
Elidor,Alan Garner,1965,173,463,3.85,3501
"Conan the Freebooter (Conan, #3)",Robert E. Howard,1968,223,463,4.07,2872
"Web of the Witch World (Witch World Series 1: Estcarp Cycle, #2)",Andre Norton,1964,190,451,3.82,2302
"Swords in the Mist (Fafhrd and the Gray Mouser, #3)",Fritz Leiber,1968,432,442,4.05,4887
"Three Against the Witch World (Witch World Series 1: Estcarp Cycle, #3)",Andre Norton,1965,190,353,3.84,1579
"Too Many Magicians (Lord Darcy, #2)",Randall Garrett,1966,342,345,3.94,1057
"Seven-Day Magic (Tales of Magic, #7)",Edward Eager,1962,190,336,4.13,4997
"The Whispering Mountain (The Wolves Chronicles, #0)",Joan Aiken,1968,276,326,3.94,1005
Letter For The King,Tonke Dragt,,,296,4.17,12677
Restoree,Anne McCaffrey,1967,256,273,3.95,5050
"Warlock of the Witch World (Witch World Series 1: Estcarp Cycle, #4)",Andre Norton,1967,249,254,3.89,1349
"The Serpent (Atlan, #1)",Jane Gaskell,1963,317,254,3.67,242
"Sorceress of the Witch World (Witch World Series 1: Estcarp Cycle, #5)",Andre Norton,1968,288,251,3.87,1185
The Goblin Tower (The Reluctant King #1),L. Sprague de Camp,1968,260,251,3.51,616
"Steel Magic (The Magic Series, #1)",Andre Norton,1965,128,249,3.78,554
"Lord Darcy  (Lord Darcy, #1-3)",Randall Garrett,1966,673,248,4.07,1107
The Animal Family,Randall Jarrell,1965,180,233,4.19,1455
Rama the Gypsy Cat,Betsy Byars,1966,109,226,3.75,67
Nightwings,Robert Silverberg,1969,240,225,3.75,3342
"The Bane of the Black Sword (The Elric Saga, #5)",Michael Moorcock,1977,157,192,4.02,7758
The Little Ghost,Otfried Preußler,1966,137,181,4.21,6911
"Swords Against Wizardry (Fafhrd and the Gray Mouser, #4)",Fritz Leiber,1968,188,176,4.1,4416
"The Swords of Lankhmar (Fafhrd and the Gray Mouser, #5)",Fritz Leiber,1968,224,176,4.09,3508
The Search for Delicious,Natalie Babbitt,1969,176,172,3.96,4304
The Dragon (Atlan Saga),Jane Gaskell,1963,240,165,3.91,123
"The City (Atlan, #3)",Jane Gaskell,1967,,163,3.57,122
"Octagon Magic (The Magic Series, #2)",Andre Norton,1967,182,160,4.05,453
"Fur Magic (The Magic Series, #3)",Andre Norton,1968,160,158,3.77,281
The Winter of Enchantment,Victoria Walker,,,151,4.14,177
"The Well-Wishers (Tales of Magic, #6)",N.M. Bodecker,1960,220,144,4.01,2144
The Universe Against Her,James H. Schmitz,1964,192,143,3.92,328
The Goblin Reservation,Clifford D. Simak,1968,192,136,3.98,3949
The Secrets of the Wild Wood,Tonke Dragt,1965,476,100,4.21,4518
The Mouse and His Child,Russell Hoban,1967,244,98,3.93,2560
Telzey Amberdon,James H. Schmitz,2000,436,97,3.98,742
Sub Rosa,Robert Aickman,,,96,4.72,95
The Golden Enemy,Alexander Key,1969,176,95,3.86,59
"Elric: To Rescue Tanelorn (Chronicles of the Last Emperor of Melniboné, #2)",Michael Moorcock,2008,460,94,3.99,617
Jim Button and Luke the Engine Driver,Michael Ende,1960,226,94,4.26,8791
"Elric: The Sleeping Sorceress (Chronicles of the Last Emperor of Melniboné, #3)",Michael Moorcock,1971,350,93,4.07,820
"Flat Stanley (Flat Stanley, #1)",Jeff Brown,1964,96,93,3.85,16063
Michael Moorcock's Elric: The Making of a Sorcerer,Michael Moorcock,2005,208,92,3.93,675
"Elric: Swords and Roses (Chronicles of the Last Emperor of Melniboné, #6)",Michael Moorcock,2010,496,91,3.99,226
"Duke Elric (Chronicles of the Last Emperor of Melniboné, #4)",Michael Moorcock,2009,368,90,4.01,279
Elric,Michael Moorcock,2001,416,89,4.1,3001
"Elric in the Dream Realms (Chronicles of the Last Emperor of Melniboné, #5)",Michael Moorcock,2009,448,88,3.97,261
"Atlan (Atlan, #2)",Jane Gaskell,1965,334,70,3.59,140
Higglety Pigglety Pop! or There Must Be More to Life,Maurice Sendak,1967,69,61,4.19,1800
